id,title,price,link,img,description,address_no,address_street,address_city,address_postcode,key_info_price,key_info_style,key_info_bedrooms,key_info_bathrooms,key_info_reception,key_info_heating,key_info_epc,key_info_size,key_info_status,timestamp
820003,"4 Cairnmore Crescent,",249950,https://www.propertypal.com/4-cairnmore-crescent-lisburn/820003,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,4,"Cairnmore Crescent,",Lisburn, BT28 2QE,"Offers around£249,950",Detached House,4,2,1,,EPC Rating Graph,,For sale,2023-05-21 17:57:02.806998
838005,"227 Ballylesson Road,",775000,https://www.propertypal.com/227-ballylesson-road-lisburn/838005,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,5 Bed Detached House,227,"Ballylesson Road,",Lisburn, BT27 5TS,"Offers over£775,000",Detached House,5,,4,Oil,F37/D62,,For sale,2023-05-21 17:56:48.259500
813022,"1 Carrickmaddy Court,",225000,https://www.propertypal.com/1-carrickmaddy-court-lisburn/813022,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached House,1,"Carrickmaddy Court,",Lisburn, BT28 2RG,"Offers around£225,000",Detached House,3,,1,Oil,B84/B84,,For sale,2023-05-21 17:57:01.920091
810838,"88 Causeway End Road,",275000,https://www.propertypal.com/88-causeway-end-road-lisburn/810838,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,88,"Causeway End Road,",Lisburn, BT28 2ED,"Offers around£275,000",Detached House,4,2,2,,EPC Rating Graph,,For sale,2023-05-21 17:56:58.022844
838056,"10 Aberdelghy Park,",235000,https://www.propertypal.com/10-aberdelghy-park-lambeg-lisburn/838056,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached Bungalow,10,"Aberdelghy Park,", Lisburn, BT27 4QF,"Offers around£235,000",Detached Bungalow,3,1,2,,F35/E49,,For sale,2023-05-21 17:56:46.642018
823952,"13 Mourneview Crescent,",149950,https://www.propertypal.com/13-mourneview-crescent-lisburn/823952,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached Bungalow,13,"Mourneview Crescent,",Lisburn, BT28 3HD,"Offers over£149,950",Semi-detached Bungalow,3,1,1,Oil,E39/D62,,For sale,2023-05-21 17:57:04.128801
837988,"61 Warren Gardens,",115000,https://www.propertypal.com/61-warren-gardens-longstone-street-lisburn/837988,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Terrace House,61,"Warren Gardens,", Lisburn, BT28 1HL,"Offers around£115,000",Terrace House,3,,1,Oil,E41/C69,,For sale,2023-05-21 17:56:45.695570
815006,"1 Ballyknockan Park,",105000,https://www.propertypal.com/1-ballyknockan-park-lisburn/815006,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Terrace House,1,"Ballyknockan Park,",Lisburn, BT28 1SH,"Offers around£105,000",Terrace House,3,,1,Oil,E39/D66,,For sale,2023-05-21 17:57:09.059750
838540,"32 Ayrshire Park,",225000,https://www.propertypal.com/32-ayrshire-park-lisburn/838540,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached House,32,"Ayrshire Park,",Lisburn, BT28 2LT,"Price£225,000",Detached House,3,2,1,Gas,EPC -PDF (61kb),,For sale,2023-05-21 17:56:47.964578
822285,"55 Greenburn Way,",189950,https://www.propertypal.com/55-greenburn-way-lisburn/822285,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Semi-detached House,55,"Greenburn Way,",Lisburn, BT27 4LU,"Offers over£189,950",Semi-detached House,4,1,1,,E51/D63,,For sale,2023-05-21 17:57:07.817926
658070,"B, Woodbrook,",285000,https://www.propertypal.com/b-woodbrook-ballinderry-road-lisburn/658070,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,,"B, Woodbrook,",Ballinderry Road, Lisburn,"Prices from£285,000",Detached House,4,3,1,Gas,,,For sale,2023-05-21 17:56:47.426498
812132,"75 Lady Wallace Gardens,",239950,https://www.propertypal.com/75-lady-wallace-gardens-thaxton-lisburn/812132,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached House,75,"Lady Wallace Gardens,", Lisburn, BT28 3GW,"Offers around£239,950",Detached House,3,2,2,,C76/C76,,For sale,2023-05-21 17:57:09.943531
837876,"9 Craig Crescent,",89950,https://www.propertypal.com/9-craig-crescent-manor-park-lisburn/837876,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Terrace House,9,"Craig Crescent,", Lisburn, BT28 1HB,"Offers over£89,950",Terrace House,3,,1,Gas,D68/C70,,For sale,2023-05-21 17:56:52.436678
836947,"15 Sir Richard Wallace Manor,",194950,https://www.propertypal.com/15-sir-richard-wallace-manor-lisburn/836947,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,15,"Sir Richard Wallace Manor,",Lisburn, BT28 3YW,"Price£194,950",Semi-detached House,3,1,1,,,,For sale,2023-05-21 17:56:52.170230
836929,"73 Woodbrook Avenue,",275000,https://www.propertypal.com/73-woodbrook-avenue-lisburn/836929,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached House,73,"Woodbrook Avenue,",Lisburn, BT28 2ZG,"Offers around£275,000",Detached House,3,,2,Gas,B84/B84,,For sale,2023-05-21 17:56:51.904939
836912,"134 Pond Park Road,",365000,https://www.propertypal.com/134-pond-park-road-lisburn/836912,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,5 Bed Detached House,134,"Pond Park Road,",Lisburn, BT28 3RE,"Offers around£365,000",Detached House,5,,3,Gas,F36/E40,,For sale,2023-05-21 17:56:53.347517
837886,"4 Ventnor Park,",149950,https://www.propertypal.com/4-ventnor-park-moss-road-lisburn/837886,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Semi-detached House,4,"Ventnor Park,", Lisburn, BT27 4LX,"Offers around£149,950",Semi-detached House,4,,2,Oil,E43/D61,,For sale,2023-05-21 17:56:51.386954
811561,"6 Fulmar Crescent,",185000,https://www.propertypal.com/6-fulmar-crescent-lisburn/811561,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,6,"Fulmar Crescent,",Lisburn, BT28 3HT,"Offers around£185,000",Semi-detached House,3,,1,Gas,E51/C71,,For sale,2023-05-21 17:56:50.825233
837869,"18 Lady Wallace Court,",119950,https://www.propertypal.com/18-lady-wallace-court-lisburn/837869,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Apartment,18,"Lady Wallace Court,",Lisburn, BT28 3GU,"Price£119,950",Apartment,2,2,1,,,,For sale,2023-05-21 17:56:51.109949
837881,"104 Low Road,",84950,https://www.propertypal.com/104-low-road-lisburn/837881,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Terrace House,104,"Low Road,",Lisburn, BT27 4TN,"Offers around£84,950",Terrace House,2,,1,Oil,F32/D66,,For sale,2023-05-21 17:56:50.101313
837410,"35 Tullyard Road,",1395000,https://www.propertypal.com/35-tullyard-road-lisburn/837410,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,35,"Tullyard Road,",Lisburn, BT27 5JN,"Offers around£1,395,000",Detached House,4,3,2,,EPC Rating,,For sale,2023-05-21 17:56:50.397972
837882,"Home Lodge, 138b Ballynahinch Road,",365000,https://www.propertypal.com/home-lodge-138b-ballynahinch-road-lisburn/837882,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,5 Bed Detached House,138,"Home Lodge,",Lisburn, BT27 5HB,"Offers around£365,000",Detached House,5,,3,Oil,D58/D64,,For sale,2023-05-21 17:56:53.058988
837978,"36 Ravernet Road,",350000,https://www.propertypal.com/36-ravernet-road-lisburn/837978,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Detached Bungalow,36,"Ravernet Road,",Lisburn, BT27 5NB,"Offers around£350,000",Detached Bungalow,2,1,2,,F30/E48,,For sale,2023-05-21 17:56:51.651033
837390,"1 Old Church Place,",185000,https://www.propertypal.com/1-old-church-place-lisburn/837390,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,1,"Old Church Place,",Lisburn, BT28 3FS,"Offers around£185,000",Semi-detached House,3,2,1,,D57/D63,,For sale,2023-05-21 17:56:52.747650
836267,"33 Greenburn Way,",159950,https://www.propertypal.com/33-greenburn-way-moss-road-lisburn/836267,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,33,"Greenburn Way,", Lisburn, BT27 4LU,"Offers around£159,950",Semi-detached House,3,,2,Gas,C72/C73,,For sale,2023-05-21 17:56:57.030248
835276,"121 Queensway,",159950,https://www.propertypal.com/121-queensway-lambeg-lisburn/835276,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Detached Bungalow,121,"Queensway,", Lisburn, BT27 4QS,"Offers around£159,950",Detached Bungalow,2,,2,Oil,F29/D58,,For sale,2023-05-21 17:56:59.220755
836191,"10 Ayrshire Way,",175000,https://www.propertypal.com/10-ayrshire-way-lisburn/836191,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Townhouse,10,"Ayrshire Way,",Lisburn, BT28 2GL,"Offers around£175,000",Townhouse,3,1,1,,B82/B82,,For sale,2023-05-21 17:56:58.907495
836804,"10 Trostan Place,",94500,https://www.propertypal.com/10-trostan-place-off-slemish-way-lisburn/836804,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Mid Townhouse,10,"Trostan Place,", Lisburn, BT28 1UN,"Offers around£94,500",Mid Townhouse,2,1,1,Oil,,,For sale,2023-05-21 17:56:56.454718
761961,"55D Bailliesmills Road,",545000,https://www.propertypal.com/55d-bailliesmills-road-lisburn/761961,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,5 Bed Detached House,55,"D Bailliesmills Road,",Lisburn, BT27 6XJ,"Asking price£545,000",Detached House,5,5,3,Oil,B85/B85,,For sale,2023-05-21 17:56:57.411898
835294,"19 The Beeches Manor,",174950,https://www.propertypal.com/19-the-beeches-manor-stoneyford-lisburn/835294,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,19,"The Beeches Manor,", Lisburn, BT28 3PL,"Offers around£174,950",Semi-detached House,3,1,2,,EPC Rating Graph,,For sale,2023-05-21 17:56:54.851001
812542,"17 Lady Wallace Avenue,",204950,https://www.propertypal.com/17-lady-wallace-avenue-lisburn/812542,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Semi-detached House,17,"Lady Wallace Avenue,",Lisburn, BT28 3GN,"Offers around£204,950",Semi-detached House,3,2,2,,C78,,For sale,2023-05-21 17:56:58.451852
835341,"45 Laurelhill Road,",300000,https://www.propertypal.com/45-laurelhill-road-lisburn/835341,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,45,"Laurelhill Road,",Lisburn, BT28 2UH,"Offers over£300,000",Detached House,4,1,3,,C69/C72,,For sale,2023-05-21 17:56:55.865156
782487,"128 Causeway Meadows,",265000,https://www.propertypal.com/128-causeway-meadows-lisburn/782487,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,128,"Causeway Meadows,",Lisburn, BT28 2GE,"Offers around£265,000",Detached House,4,3,2,Gas,C69/C69,,For sale,2023-05-21 17:56:57.690333
836217,"8 Thornleigh Mews,",175000,https://www.propertypal.com/8-thornleigh-mews-lisburn/836217,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,2 Bed Apartment,8,"Thornleigh Mews,",Lisburn, BT28 2PW,"Offers around£175,000",Apartment,2,2,1,,C78/C79,,For sale,2023-05-21 17:56:55.209283
836332,"30 Lansdowne Park,",249950,https://www.propertypal.com/30-lansdowne-park-lisburn/836332,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,3 Bed Detached Bungalow,30,"Lansdowne Park,",Lisburn, BT27 5DJ,"Offers over£249,950",Detached Bungalow,3,,2,Oil,D57/D66,,For sale,2023-05-21 17:56:55.588629
835223,"19 Holborn Hall,",285000,https://www.propertypal.com/19-holborn-hall-lisburn/835223,/_static/3d75ac11dde0090594eb87d4b294a48c6848892e/_next/static/media/PropertyPalLogo@3x.c8a03f97.png,4 Bed Detached House,19,"Holborn Hall,",Lisburn, BT27 5AU,"Price£285,000",Detached House,4,3,3,Oil,,,For sale,2023-05-21 17:57:00.784877
